Id,Prediction
0,3787454.5
1,3000318.2
2,3558370.5
3,3871853.5
4,4932657.0
5,5190064.5
6,3907186.0
7,3274343.5
8,3502011.5
9,3429236.8
10,3030113.2
11,3774146.2
12,4237009.0
13,3284708.0
14,4460185.5
15,2920760.8
16,5542211.5
17,4436282.5
18,3831880.0
19,4185712.2
20,2033337.6
21,3385069.2
22,3872365.5
23,7107801.0
24,5030893.5
25,3379611.8
26,3669352.8
27,6195437.5
28,5290513.0
29,5993028.0
30,2526405.0
31,2885076.5
32,2543861.5
33,4093041.5
34,3085142.8
35,4167647.5
36,3950181.0
37,5415461.0
38,2723313.0
39,2464935.0
40,4860431.5
41,5131938.0
42,5132470.0
43,3489631.8
44,6654059.5
45,4587346.5
46,3432262.8
47,2040961.6
48,5636259.0
49,3118109.8
50,4121566.5
51,3363823.8
52,5537845.5
53,2775318.2
54,3872872.0
55,5294223.0
56,7378878.0
57,4634773.5
58,5193122.5
59,5543733.0
60,2751375.0
61,4323198.0
62,3458902.5
63,3091641.0
64,4009762.0
65,6232434.5
66,5035418.5
67,4521402.0
68,4191648.0
69,4338121.5
70,4129657.2
71,2197666.8
72,4630803.5
73,5975631.0
74,5302022.5
75,5882013.0
76,6147598.0
77,2711262.8
78,5044315.0
79,4439552.5
80,7080162.5
81,4051237.5
82,3927846.5
83,4554534.5
84,4400510.5
85,1772068.0
86,4380925.5
87,4699395.0
88,4788630.5
89,3641686.2
90,4748273.5
91,4106027.5
92,4124240.2
93,5423693.5
94,7035533.0
95,2190900.8
96,5560770.5
97,4607430.5
98,5474167.0
99,4851235.0
100,3406618.0
101,2771950.5
102,2868378.0
103,2970528.5
104,4555084.5
105,3966408.2
106,5361731.5
107,3916177.2
108,4384252.5
109,5335541.0
110,5868560.0
111,4679618.5
112,3456676.8
113,4175918.8
114,3563371.2
115,3733852.8
116,3530667.5
117,5139643.0
118,4646548.0
119,3922531.8
120,4316103.5
121,4517817.0
122,3294107.0
123,5150233.5
124,2952122.5
125,3925533.0
126,4489533.0
127,3923804.8
128,3639321.2
129,4916281.0
130,1687936.5
131,6310220.0
132,5709767.5
133,3710022.8
134,4603053.0
135,3160477.5
136,3933767.8
137,4161224.8
138,2903700.0
139,4758654.5
140,6030880.5
141,2899949.5
142,6464314.0
143,1823150.1
144,6132461.5
145,3036591.5
146,3578838.2
147,2828857.8
148,4152565.2
149,4961121.0
150,4637423.5
151,1809231.1
152,4436045.0
153,6843536.0
154,2504652.5
155,7076050.5
156,5141668.0
157,3683256.8
158,2945677.0
159,4613696.5
160,3715797.8
161,5709261.0
162,4482262.0
163,5806413.5
164,8271941.0
165,2682793.2
166,4269980.5
167,4173361.5
168,3874123.8
169,3969475.2
170,2980261.8
171,2531656.8
172,4252696.5
173,4815648.0
174,3730512.8
175,2431801.2
176,4413022.5
177,3937698.2
178,4775182.5
179,3088496.5
180,5593994.5
181,4502992.0
182,4873719.0
183,5243706.5
184,4225889.0
185,3301657.2
186,4323170.0
187,3892759.0
188,5014578.5
189,5080022.0
190,4768581.0
191,3421344.8
192,8442879.0
193,3676082.0
194,4490262.5
195,4568512.5
196,4309009.5
197,2622426.5
198,2751489.8
199,3846461.2
200,4493398.5
201,2246767.0
202,4935849.5
203,5474679.0
204,4931246.5
205,6907297.0
206,3310945.8
207,3743548.8
208,4721690.0
209,4454369.5
210,5048544.0
211,5806861.0
212,2808409.0
213,3669528.8
214,5213925.5
215,2162743.5
216,3732273.5
217,5223155.5
218,2622971.0
219,2854797.8
220,6070359.5
221,4056126.0
222,4874954.5
223,3842655.8
224,5272807.5
225,2943617.5
226,2741970.8
227,7859732.5
228,3361821.5
229,3720880.2
230,5684211.0
231,5147551.0
232,4238346.0
233,3527693.5
234,3549438.8
235,6910170.5
236,4266309.5
237,3898875.5
238,3871099.0
239,4075691.5
240,5137935.5
241,4776560.5
242,3841827.5
243,4013738.0
244,5794183.5
245,5222821.5
246,3827946.2
247,4227392.0
248,4433896.0
249,4471391.0
250,2414040.2
251,5445006.5
252,5850204.5
253,3994452.0
254,4501949.0
255,2213893.5
256,3749910.8
257,6519419.5
258,4137968.0
259,4471594.5
260,3597764.0
261,2926035.5
262,7557995.0
263,4484238.0
264,1772697.4
265,3816510.8
266,5113776.5
267,5572864.0
268,6438811.0
269,5360781.5
270,4142389.8
271,2896289.0
272,4103321.5
273,4923119.0
274,2790576.2
275,2559069.5
276,4877903.0
277,6521178.5
278,5003087.0
279,3140058.8
280,6267616.0
281,4782812.5
282,3379606.5
283,4250371.0
284,4010842.2
285,1794827.4
286,5823872.0
287,1590310.0
288,5986710.0
289,4466183.0
290,3650891.5
291,5646499.0
292,3410551.0
293,5560840.5
294,3925035.0
295,4720562.5
296,4851029.0
297,3187001.2
298,4434716.5
299,3245120.5
300,4794853.5
301,4729966.0
302,5451985.5
303,8176601.5
304,4023303.8
305,3561680.0
306,5546803.0
307,5371024.5
308,2173207.8
309,3591519.0
310,4155779.8
311,3555863.8
312,2718705.5
313,3431330.2
314,4133056.8
315,1933055.5
316,2199373.8
317,3469845.2
318,6537004.5
319,4558699.5
320,3960531.0
321,4612619.0
322,3987751.8
323,3099406.0
324,4006204.2
325,4164591.5
326,4883213.5
327,4234019.5
328,4881995.0
329,4486426.0
330,3053515.2
331,4998833.0
332,4104237.0
333,5842298.5
334,5236506.0
335,4745442.0
336,2730491.5
337,7461453.5
338,5420476.0
339,4173259.2
340,4822409.0
341,5820235.5
342,3903967.5
343,5112721.5
344,3937962.8
345,4423856.0
346,4189658.5
347,5407122.5
348,1654270.9
349,5327887.0
350,5840812.0
351,4927686.0
352,3894500.2
353,3207505.5
354,3665531.5
355,5130657.5
356,4767830.5
357,4685257.0
358,6261810.5
359,5484060.5
360,4916281.0
361,5065095.5
362,3683109.5
363,4018039.5
364,4769771.5
365,3972853.8
366,2376000.0
367,3455139.8
368,4570211.0
369,3391886.8
370,4560838.5
371,4278228.0
372,4713407.5
373,3462765.0
374,3098346.8
375,3313236.5
376,2866302.5
377,5317732.0
378,4554881.5
379,3869918.8
380,6193947.5
381,4349110.5
382,4355516.0
383,5293952.0
384,3906257.2
385,5555654.5
386,3428959.8
387,5889443.5
388,3609713.8
389,4679490.0
390,4459795.0
391,3490690.0
392,3083888.0
393,4659803.0
394,6057034.0
395,3107344.0
396,4506400.5
397,6568468.0
398,4607984.0
399,4832856.0
400,4870828.0
401,2945827.2
402,3737041.2
403,4481517.0
404,3280668.8
405,3429543.0
